gene	length	logFC	logCPM	F	PValue	FDR
Syt11	5783	-1.176539269	6.805946711	222.1974195	3.97E-10	4.47E-06
Irf7	1934	-1.544284704	6.083122843	178.6296921	1.72E-09	7.07E-06
Susd3	3651	-1.298882578	6.783277188	176.2377097	1.88E-09	7.07E-06
Wnt10a	1962	3.9747882	2.942828666	129.8854829	1.40E-08	1.13E-05
Cd86	3513	2.675748303	4.229969085	142.5844748	7.64E-09	1.13E-05
Socs3	2732	-2.347844961	3.787617509	141.313748	8.10E-09	1.13E-05
Tox2	4623	-2.213407041	6.270373307	145.5143698	6.69E-09	1.13E-05
Klrb1c	2632	2.094462328	4.348264704	131.5236477	1.29E-08	1.13E-05
Tnfrsf25	2541	-1.746970566	5.179038918	129.2811664	1.45E-08	1.13E-05
Slfn5	6354	-1.6674741	5.775908812	154.6999932	4.47E-09	1.13E-05
Rxra	5703	1.604260731	6.152080529	126.0597685	1.71E-08	1.13E-05
Sell	3206	-1.360002298	7.827835039	134.6762103	1.11E-08	1.13E-05
Chchd10	1555	1.315227808	4.784568351	133.227581	1.19E-08	1.13E-05
Pear1	4715	-1.295097922	5.229138482	136.8979223	9.97E-09	1.13E-05
Icos	4325	-1.04608414	9.179900257	126.1889318	1.69E-08	1.13E-05
Emb	2622	-0.86781075	7.553644139	143.4238215	7.35E-09	1.13E-05
Acp5	2880	-0.860502839	6.888977151	128.1894396	1.53E-08	1.13E-05
Selenop	2218	-1.226515262	7.0429226	120.9641411	2.23E-08	1.25E-05
Gmfg	2451	-1.199236803	7.788822413	122.7333609	2.03E-08	1.25E-05
S1pr1	3029	-1.096021026	7.845542041	119.2159565	2.45E-08	1.25E-05
Unc93b1	2281	1.016356154	5.575818078	119.5146389	2.41E-08	1.25E-05
Dennd2d	5454	-0.972408334	8.958824391	120.5548346	2.28E-08	1.25E-05
Slc9a9	3492	-1.279378983	6.353096577	114.5536838	3.16E-08	1.55E-05
Lta	1627	1.051644854	6.084412985	111.0178242	3.87E-08	1.81E-05
Kbtbd11	8904	-0.900768175	6.646881991	109.9887408	4.10E-08	1.85E-05
Gramd4	8624	-1.311710319	4.741435525	108.7606461	4.41E-08	1.91E-05
Trp53i13	1777	-0.938249919	4.964662787	108.100475	4.58E-08	1.91E-05
Faah	5155	-0.901619277	7.709095132	107.3616485	4.79E-08	1.93E-05
Cpm	5402	-0.925518035	6.138206467	104.7183016	5.61E-08	2.18E-05
Npm1	3519	0.697377277	10.07552184	103.2477851	6.14E-08	2.30E-05
Tesc	1036	-1.552725481	6.116939262	100.6557686	7.22E-08	2.46E-05
Chst10	3248	-1.063635131	5.381176088	101.3213151	6.92E-08	2.46E-05
Ppid	2804	0.759547973	7.119081619	100.2923084	7.38E-08	2.46E-05
Gimap3	2145	-0.72271953	9.633337958	100.2009547	7.43E-08	2.46E-05
Cish	4293	1.697191408	4.692615901	98.50986295	8.27E-08	2.66E-05
Ripor2	10616	-1.154841281	7.761554841	96.48715573	9.43E-08	2.95E-05
Trib2	4448	-1.195947054	7.461993158	95.75862638	9.89E-08	3.01E-05
Itga7	7267	-3.044405927	2.090674398	88.61111352	1.61E-07	4.52E-05
Akap12	6247	-0.912604682	5.611509068	88.66465307	1.60E-07	4.52E-05
Kif21b	9297	-0.730719004	7.321389842	88.69417747	1.60E-07	4.52E-05
Nav2	114472	-2.614480447	3.596160945	87.7597412	1.71E-07	4.69E-05
Abtb2	4558	-0.780537316	6.754338758	87.28634588	1.76E-07	4.73E-05
Nkg7	813	2.627614075	3.655277643	85.72959125	1.97E-07	5.17E-05
Sik1	4553	2.002353737	3.813072122	80.69594427	2.87E-07	7.34E-05
Il17re	3592	-4.184534502	0.110744505	80.05947076	3.01E-07	7.53E-05
Irf8	3435	1.18174776	6.079301007	79.20093461	3.22E-07	7.71E-05
Capn2	3318	-1.122949601	5.753058842	79.42453168	3.16E-07	7.71E-05
Rorc	3564	-2.169213014	2.933684585	78.90327645	3.29E-07	7.72E-05
Nop16	1768	0.788749976	5.893846284	78.53572569	3.39E-07	7.79E-05
Kcna2	14395	-1.678672265	3.150028833	77.87914342	3.57E-07	8.03E-05
Cxcr5	2638	-1.4579052	7.331926021	77.48201478	3.68E-07	8.13E-05
Sema4f	5004	-1.28538373	5.300369346	76.90920119	3.85E-07	8.18E-05
Lap3	2267	0.956588286	5.804409205	77.02852263	3.82E-07	8.18E-05
Jakmip1	10511	-0.812057048	6.026932135	76.43855018	4.00E-07	8.34E-05
Il1r1	6138	-3.379400533	4.209533968	75.73648433	4.23E-07	8.51E-05
Tha1	1840	-2.215119524	3.46858898	75.7263769	4.23E-07	8.51E-05
Acss1	3613	-1.815315378	4.26446686	75.35736393	4.36E-07	8.62E-05
Rtp4	2945	-1.721976428	4.771038726	73.15304914	5.23E-07	0.00010142
Slc26a11	3862	-1.140736229	5.295762887	71.80053765	5.85E-07	0.000111633
Il17ra	3989	-0.750359797	7.75447743	71.46682625	6.02E-07	0.000112908
S1pr3	4484	3.804874219	1.375216883	71.21370648	6.15E-07	0.000113464
Tbx21	2552	2.474810286	2.66108488	70.56727232	6.50E-07	0.000116079
Dgka	4601	-0.702632926	9.441834768	70.69912138	6.42E-07	0.000116079
Gnl3	1940	0.932576377	5.745777958	70.24543818	6.68E-07	0.000117271
Gramd3	2841	-0.803154376	5.892898629	70.08360278	6.77E-07	0.000117271
Arl5c	1673	-1.151938788	6.013948142	69.88789701	6.89E-07	0.000117456
B4galt5	4262	0.894677778	4.937495641	69.60801359	7.05E-07	0.000118532
Nhp2	1112	0.612242444	7.230786098	68.8540374	7.53E-07	0.000124695
Endod1	4567	0.824273486	7.278567795	68.47375255	7.79E-07	0.000127044
Larp1	7190	0.581099764	6.519405359	68.23139943	7.95E-07	0.000127922
Bambi-ps1	1215	-1.164736637	5.770441242	67.22910558	8.69E-07	0.000133824
Rpf2	1890	0.697579943	6.194672222	67.09455564	8.80E-07	0.000133824
Ablim1	10406	-0.657653361	9.404751074	67.106535	8.79E-07	0.000133824
Prkcq	4147	-0.655654309	8.223134574	67.29702006	8.64E-07	0.000133824
Cd27	1812	-1.205213636	7.216669107	66.26468633	9.48E-07	0.000142237
Lgmn	2008	-1.278428905	4.155649368	66.11547636	9.60E-07	0.000142268
Hspe1	768	0.836410128	7.499551129	65.14062333	1.05E-06	0.000153423
Bid	2401	0.906043551	5.807538584	64.18688788	1.15E-06	0.000165341
Wdr77	3553	0.758442606	6.58696939	63.95931917	1.17E-06	0.000166727
Slc16a5	4295	-1.394483486	4.198827023	62.84293415	1.30E-06	0.000181344
Tent5c	5680	-1.219505153	4.739913522	62.47934701	1.34E-06	0.000181344
Timp2	3622	-1.152662277	4.754698042	62.76310617	1.31E-06	0.000181344
Rbl2	4925	-0.684679205	6.33629476	62.40836025	1.35E-06	0.000181344
Atp5g1	998	0.546635915	8.295854802	62.50922527	1.34E-06	0.000181344
Il18	2593	2.094890741	1.872788363	62.07103069	1.40E-06	0.000182891
Cd226	4853	0.605610927	6.32161246	62.10440384	1.39E-06	0.000182891
Pno1	1565	0.626570459	5.823570562	61.74179251	1.44E-06	0.000186554
Arhgap25	4728	-0.647892642	7.268178039	61.61022454	1.46E-06	0.000186769
Swap70	4305	0.816195228	4.907073192	61.35876018	1.50E-06	0.000189178
Tmem63a	8210	-0.796707554	5.124629629	61.1932795	1.52E-06	0.000190076
Ndufaf4	3632	0.736502522	5.134076333	60.50392811	1.62E-06	0.000198763
Nip7	3129	0.663149908	6.74157522	60.50778705	1.62E-06	0.000198763
Phf11b	1518	-0.715561187	6.738608715	60.33330284	1.65E-06	0.000199917
Snu13	1257	0.499415864	7.55876177	60.0824075	1.69E-06	0.000202691
C1qbp	1165	0.739203741	7.030589059	59.7808701	1.74E-06	0.000206568
Cd74	1415	1.283976524	5.001946851	59.64164747	1.77E-06	0.000207231
Ssh2	27595	-0.690619911	7.315848991	59.18869586	1.85E-06	0.000214464
Ctsa	3675	-0.747689447	7.856309606	59.03799967	1.88E-06	0.000215314
Slc28a2	4151	-0.638737461	7.144066168	58.94283696	1.89E-06	0.000215314
Tmem71	4771	-0.934821412	6.371282201	58.42597981	1.99E-06	0.000224425
Txnip	2801	-0.977679405	5.829401532	57.99632797	2.08E-06	0.000225295
Ppan	1671	0.710213007	6.02702118	58.0941099	2.06E-06	0.000225295
Mrpl12	981	0.563553238	6.850366852	58.15737939	2.05E-06	0.000225295
Apex1	1307	0.522703717	6.456723791	58.0341232	2.07E-06	0.000225295
Cdkn2d	1475	-0.723668597	7.321348225	57.87354116	2.11E-06	0.000225925
Nrn1	1769	1.931390875	3.485173999	57.74411176	2.13E-06	0.000226734
Rnf144a	5805	-1.29526599	4.250579112	57.5993075	2.17E-06	0.000227926
Rasa3	4205	-1.046886407	7.058684972	56.54424181	2.41E-06	0.000251452
Galnt2	4110	-0.611853185	5.652742047	56.29914787	2.47E-06	0.000253523
Cacybp	2115	0.584996258	7.802700542	56.2861425	2.48E-06	0.000253523
LOC118567527	5304	-1.440213093	4.663084711	56.12052523	2.52E-06	0.00025557
Add3	5495	-0.631048271	7.966333584	55.69062115	2.63E-06	0.000262485
Rnf19a	4276	-0.511050977	7.796940995	55.71290548	2.63E-06	0.000262485
Bcl2l11	9973	1.171816374	5.577602319	55.56657183	2.67E-06	0.000263563
Gm11346	1116	-1.786547789	3.790603768	55.13590821	2.79E-06	0.000273296
Ifnar2	6674	-0.562588374	6.959983328	54.81536101	2.89E-06	0.000280219
Eef1e1	1039	0.635991428	5.775948079	54.39847135	3.02E-06	0.000290332
Car2	1947	2.576830887	1.843779895	54.27480078	3.06E-06	0.000291672
Dpy19l3	7671	-0.840924106	4.520222018	54.09960322	3.11E-06	0.000292202
Tspo	856	-0.768692599	8.241354872	54.17278414	3.09E-06	0.000292202
Bcl2l1	7261	0.974943352	6.503842738	53.89392059	3.18E-06	0.000295701
Sigirr	2497	-0.61943569	6.822352879	53.83298704	3.20E-06	0.000295701
Hspd1	2588	0.750449813	8.551420827	53.5367271	3.31E-06	0.000300309
Lime1	1959	-0.669891346	8.03985546	53.60711704	3.28E-06	0.000300309
Tgfb3	3385	-2.258541359	2.559097411	52.99218383	3.51E-06	0.000315913
Ptpn1	5914	-0.516708379	8.530506652	52.74550268	3.60E-06	0.0003219
Satb1	13246	-1.057674554	7.443490644	52.65734387	3.64E-06	0.000322441
Grwd1	2334	0.791714051	5.731787284	52.40989062	3.74E-06	0.000328665
Fam136a	1700	0.618256539	6.353081851	52.25711655	3.80E-06	0.000331609
Wdr43	3697	0.577307173	7.218291481	52.10065463	3.87E-06	0.000334748
Cd83	2141	1.185731776	7.678023114	51.99300077	3.91E-06	0.000336142
Ifi27	1322	-0.811704252	6.825435347	51.69772589	4.04E-06	0.000339478
Ptger4	3327	0.690630911	6.889250736	51.7537257	4.02E-06	0.000339478
Eif2s2	2513	0.467021713	7.117729507	51.7360034	4.02E-06	0.000339478
Arid5a	5876	-0.694630652	7.159813704	51.5752133	4.10E-06	0.000341555
Spsb1	3811	-0.733189013	5.70842811	51.28453906	4.23E-06	0.000347588
Ndrg3	3329	-0.65684866	7.440626461	51.3407507	4.20E-06	0.000347588
Runx2	8554	1.632269893	3.278975222	50.76755165	4.48E-06	0.000362628
Itgb7	5708	-0.911212516	9.195206488	50.68827708	4.52E-06	0.000362628
Sgsh	4324	-0.610192972	6.292696702	50.58438372	4.57E-06	0.000362628
Stat2	4476	-0.57476638	5.433191115	50.64661577	4.54E-06	0.000362628
Ets1	5403	-0.493164699	10.13198262	50.78960032	4.47E-06	0.000362628
Hsd11b1	1651	-0.750732339	7.529069055	50.45640848	4.64E-06	0.00036531
Ptprk	7097	1.516440895	3.353642666	50.31162683	4.72E-06	0.000366196
Rsl1d1	1839	0.515483061	7.601535655	50.37052836	4.69E-06	0.000366196
Klhl6	2652	-0.577578787	7.622296378	50.11214169	4.82E-06	0.000371977
Mat2a	3390	0.582018971	8.270289634	49.91760084	4.93E-06	0.000375174
Nfkbid	3046	0.580257487	7.122888101	49.91655631	4.93E-06	0.000375174
Arhgap45	4440	-0.639557898	9.994188137	49.76714669	5.02E-06	0.000379037
Snhg15	592	1.120187431	4.194150842	49.58231444	5.12E-06	0.000384524
Bcl6	5043	-1.162599801	5.890354755	49.45388354	5.20E-06	0.000385072
Prkca	11063	0.658528325	7.16823551	49.50841772	5.17E-06	0.000385072
Ergic1	6090	0.619412324	6.533072768	49.26149287	5.31E-06	0.000391077
Mettl1	2154	0.977965049	4.007655872	48.68664181	5.68E-06	0.000415145
Aqp3	1763	-1.638721038	4.008749839	48.4594372	5.83E-06	0.00042348
Rnase4	1996	-2.166713747	1.608119703	48.31462083	5.93E-06	0.000427913
Cpeb1	8516	-4.154058081	0.678607639	48.1702157	6.03E-06	0.000432408
Tcf4	44311	1.509689635	2.594485684	48.10868971	6.07E-06	0.00043277
Tnfrsf26	4298	-0.944988149	6.864926626	47.95280124	6.19E-06	0.000437964
Ipo4	4071	0.704294034	5.658618276	47.89477461	6.23E-06	0.000438197
Pou2af1	2566	-1.257178443	5.463052002	47.47124522	6.55E-06	0.000457729
Ctse	2120	-0.712467905	8.618872084	47.23574328	6.73E-06	0.000467758
Rpl7a	1173	0.434379375	8.900254022	46.97781064	6.94E-06	0.000479355
Nipal1	4205	-1.17186833	4.138266608	46.84973144	7.05E-06	0.00048376
Cd53	2802	-1.0163095	9.434155347	46.6007431	7.26E-06	0.000495224
Ifi27l2a	883	-0.930373436	10.15552993	46.5525933	7.30E-06	0.000495224
Pus1	1929	0.622576769	5.143139657	46.3520862	7.48E-06	0.000504258
Camk1d	8719	-0.975327823	4.616504248	46.22604211	7.59E-06	0.000508924
Lpxn	2231	-0.80066643	7.541552272	45.71779907	8.08E-06	0.000525587
Retreg1	9430	-0.769179876	6.835371704	45.90630368	7.89E-06	0.000525587
Npepps	4555	0.689751041	5.617508642	45.76789087	8.03E-06	0.000525587
Orai2	6339	-0.648834646	6.608412605	45.74503903	8.05E-06	0.000525587
Skap1	2211	-0.473692646	8.988751457	45.7328765	8.06E-06	0.000525587
Chchd4	1245	0.716259065	5.106188263	45.5899471	8.20E-06	0.000530039
Lipa	2971	-0.585188836	7.024939402	45.50745907	8.29E-06	0.000530039
Unc119	1531	0.581847807	6.293831304	45.51214844	8.28E-06	0.000530039
Acot11	5876	-1.166566608	3.46258183	45.33114745	8.47E-06	0.000535501
Sash3	2680	-0.438770948	9.125449421	45.36610873	8.43E-06	0.000535501
Cd22	4689	3.0155816	1.827585978	45.22407619	8.58E-06	0.000538319
Gpr146	7193	-2.065552983	3.525531615	45.06261518	8.75E-06	0.000538319
Phactr2	10540	-1.151943358	4.325450343	45.07419975	8.74E-06	0.000538319
Tnfsf11	2235	0.631044874	7.064902872	45.09061916	8.72E-06	0.000538319
Rpl5	2025	0.412322186	9.995520236	45.15199503	8.65E-06	0.000538319
3110082I17Rik	1909	0.975994932	4.03483606	44.80454004	9.03E-06	0.00055112
Txnl4a	5714	0.514667181	6.27083572	44.78382914	9.06E-06	0.00055112
Adam12	7675	-4.464505309	0.597331239	44.69023827	9.16E-06	0.000551573
Hexb	1905	-0.633166171	5.032996505	44.72958384	9.12E-06	0.000551573
Trerf1	7411	-0.841831619	5.770534033	44.61065118	9.25E-06	0.000554075
Slc14a1	3995	-1.288991205	3.623949076	44.54176644	9.33E-06	0.000555872
Utrn	22621	-0.595159611	7.356934901	44.08759422	9.88E-06	0.000585139
Xaf1	6113	-0.847845739	5.24605264	44.03084369	9.95E-06	0.000586225
P2rx7	6449	-0.766946749	7.128161836	43.66226674	1.04E-05	0.000609885
Ccdc50	9543	0.700363086	7.068536822	43.63306015	1.05E-05	0.000609885
Ikbke	4519	-0.564533533	7.735246553	43.58086755	1.05E-05	0.000610749
Gbp2	2455	0.619402103	4.665297235	43.53068067	1.06E-05	0.00061148
H2-Q2	2032	-2.549370394	5.493329246	43.3681617	1.08E-05	0.000620998
Serpinc1	2088	3.093247587	3.073573953	42.89721473	1.15E-05	0.000655995
Ubl3	3014	-0.72001566	5.428659039	42.78891612	1.16E-05	0.000661784
Vsir	7464	-0.785469113	6.985891553	42.55189666	1.20E-05	0.000678786
Egr2	9083	-0.791081333	6.095281057	42.37220808	1.23E-05	0.000691201
Fgr	4030	1.410797986	3.60657815	42.27261432	1.24E-05	0.000693804
Lyar	1938	0.642035734	6.038787021	42.2660132	1.24E-05	0.000693804
Ifi211	2007	2.598172333	3.054527481	42.01361304	1.29E-05	0.000709831
Ddx58	4963	-0.993671345	4.956717161	42.02479425	1.28E-05	0.000709831
Txk	3337	-0.923261611	5.97198706	41.61309141	1.36E-05	0.000744208
Fam214a	26478	-0.676969439	4.969303724	41.54385891	1.37E-05	0.000747335
Ifi213	8794	-1.559624465	4.101492813	41.34816475	1.40E-05	0.000757855
Chst15	5922	1.199300671	3.942935351	41.27494565	1.42E-05	0.000757855
Ptpra	3744	-0.750946642	5.225145061	41.09678311	1.45E-05	0.000757855
Cd3eap	2248	0.737726529	4.480983519	41.21748563	1.43E-05	0.000757855
Nfkbiz	3878	-0.686975994	6.432672284	41.15246173	1.44E-05	0.000757855
Heatr3	6282	0.633476006	6.271828234	41.19668713	1.43E-05	0.000757855
Chst2	6242	0.633354424	4.736232597	41.0999512	1.45E-05	0.000757855
Nop56	5989	0.614684762	7.95640663	41.07707801	1.45E-05	0.000757855
Phb2	1360	0.573900721	8.050773055	41.17803019	1.43E-05	0.000757855
Mtap	2558	0.511243573	6.493573429	41.19436984	1.43E-05	0.000757855
S1pr4	2393	-0.747832692	6.973315967	40.95454519	1.48E-05	0.000766683
Oas1a	2010	-1.223967922	3.608861908	40.82547958	1.50E-05	0.000768105
Pik3c2a	8141	-0.756313972	4.713359557	40.80276628	1.51E-05	0.000768105
Plekhg2	7083	-0.611564157	6.745328595	40.8387471	1.50E-05	0.000768105
Hsdl1	3760	-0.521747806	7.571414201	40.87713554	1.49E-05	0.000768105
Mrto4	1238	0.791563026	5.801182365	40.71757376	1.52E-05	0.000773348
Ripk3	1965	-0.558715639	6.791509553	40.65946001	1.54E-05	0.000775855
Dtx3l	5181	-0.521723771	6.127626293	40.53570247	1.56E-05	0.000785234
Smim10l2a	3133	1.769723584	2.614770563	40.41192348	1.59E-05	0.000794775
Emp1	3231	-2.088347168	2.378587344	40.27763253	1.62E-05	0.000798546
Sbno2	8642	-0.778540895	6.141594824	40.30955523	1.61E-05	0.000798546
Eno3	5457	0.629332823	4.543417911	40.33715287	1.60E-05	0.000798546
Ndufab1	2189	0.482628254	7.38989182	40.14109498	1.65E-05	0.000809764
Sirt7	1956	-0.431940559	7.714695494	40.10098635	1.66E-05	0.000810602
Lpar6	2468	-0.763443729	5.197166225	39.88046069	1.71E-05	0.000827858
H2az2	1807	-0.49863667	7.6948764	39.88974866	1.70E-05	0.000827858
Nop58	2184	0.651390427	7.433623464	39.72429155	1.74E-05	0.000841902
Gm6637	1502	2.736448034	1.474914219	39.67691419	1.75E-05	0.000843704
Ncf1	2969	1.636776381	2.844692772	39.49632975	1.80E-05	0.00085012
Flot1	1818	-0.601065373	5.02750833	39.50550815	1.79E-05	0.00085012
Mapkapk3	3554	0.565585536	7.34561509	39.52372923	1.79E-05	0.00085012
Unc119b	3643	-0.453139785	7.26520513	39.54654036	1.78E-05	0.00085012
Arid5b	9976	-1.072777006	5.566973331	39.45260276	1.81E-05	0.000851617
Trbv12-2	372	-0.593662995	7.639793411	39.3602474	1.83E-05	0.00085881
2310001H17Rik	769	-0.959976018	6.714183016	39.26370455	1.86E-05	0.000863013
Syne1	45659	-0.774443442	5.208758325	39.26471064	1.85E-05	0.000863013
Camk4	13074	-0.558950573	6.887901043	39.17708266	1.88E-05	0.000869704
Coro2a	5326	2.321843228	3.083867015	39.10140404	1.90E-05	0.000871593
Ifi209	3497	-1.228912675	6.928664458	39.11153603	1.89E-05	0.000871593
Gm35113	9767	2.372289135	0.932090533	39.01569501	1.92E-05	0.000872624
Sgk1	4158	-1.152910529	4.644311337	38.97939445	1.93E-05	0.000872624
Phtf2	5149	1.062807173	4.255614722	39.00815763	1.92E-05	0.000872624
St8sia1	24990	-0.630023231	6.238016977	38.97480207	1.93E-05	0.000872624
Lat	1571	-0.47289986	9.371921664	38.94114995	1.94E-05	0.000873163
Rgs14	2443	-0.46927898	6.542860722	38.89904653	1.95E-05	0.000874736
Cmpk2	3439	-1.251730089	3.529925368	38.83005667	1.97E-05	0.000879582
Wdr74	1248	0.430470268	5.899557505	38.75240016	1.99E-05	0.000884779
Lsp1	2745	-0.425522354	9.679390899	38.73003444	2.00E-05	0.000884779
Nop2	2666	0.636777988	6.468659194	38.58511074	2.04E-05	0.000895634
Gng2	4327	-0.484493975	6.821392562	38.60879485	2.03E-05	0.000895634
Lgals3bp	2299	-0.762892191	6.647666268	38.41230347	2.09E-05	0.00091379
Kpnb1	5909	0.44961439	6.898591521	38.36314571	2.10E-05	0.000916488
Plpp1	1765	1.436228912	2.966577297	38.18802773	2.15E-05	0.000935493
Gabbr1	5848	-1.506764527	2.9820105	38.11773363	2.17E-05	0.000941087
Il21	3178	-2.82746787	4.685866373	38.02487452	2.20E-05	0.00094611
Fbl	1429	0.514159671	7.203892673	38.05044073	2.19E-05	0.00094611
Cinp	2179	0.671969416	5.562032355	37.91201642	2.24E-05	0.000957538
Sqor	2365	-1.523565707	3.733890362	37.83250148	2.26E-05	0.00096098
Iars	4501	0.700422141	7.101939718	37.84015767	2.26E-05	0.00096098
Stra6	4384	2.099093353	2.249089884	37.60466695	2.34E-05	0.000988583
Gsap	15768	0.44917307	5.985895308	37.51629146	2.37E-05	0.000997254
Cd300lf	1908	2.245978402	1.195697033	37.46689238	2.38E-05	0.0010005
Adprm	1529	-0.537746213	5.875936363	37.39791754	2.41E-05	0.001006566
Snhg5	1011	0.655079067	5.35940276	37.33649809	2.43E-05	0.001011611
Homer1	18067	1.182665376	3.014674104	37.29542362	2.44E-05	0.001013772
Gabrr2	3437	-2.112665844	2.138324467	37.20272321	2.47E-05	0.001021441
Plin2	2928	0.812262292	3.836738881	37.19022243	2.48E-05	0.001021441
Nle1	2347	0.801698515	4.61055823	37.16500409	2.49E-05	0.001021441
H2-Ob	3031	-1.34845093	3.352963756	37.10319736	2.51E-05	0.001026729
Psme2	977	0.469160563	8.916542756	36.96889675	2.56E-05	0.001042811
Denr	2506	0.399698875	6.890865726	36.86235799	2.60E-05	0.001055009
Gcsh	1247	0.601847076	5.784055223	36.83411666	2.61E-05	0.001055477
Mir155hg	1264	1.259094443	2.540738615	36.77623471	2.63E-05	0.001060461
Slc7a1	7379	0.526063595	6.517553528	36.73841879	2.64E-05	0.001062425
AI467606	2200	-0.524870434	7.495491764	36.7088135	2.65E-05	0.001063156
Hif1a	4990	-0.450554128	8.025732211	36.67404856	2.67E-05	0.001064694
Eef1g	1565	0.410604202	9.093212468	36.56806689	2.71E-05	0.001077242
Mrpl17	6712	0.40693725	7.100731654	36.43080211	2.76E-05	0.001094924
Eci1	1091	0.567750626	5.973997603	36.3275187	2.80E-05	0.001107506
Il2ra	4428	1.575726124	4.848228925	36.28594232	2.82E-05	0.001110301
Nsmf	2954	-0.495219883	5.185018496	36.24492752	2.84E-05	0.001113032
B4galnt4	3682	-4.038804124	1.209451906	36.16138327	2.87E-05	0.001118818
Shmt1	3059	0.781362864	6.046641103	36.1773394	2.87E-05	0.001118818
Ctsw	1498	1.997213287	2.783897517	36.02436022	2.93E-05	0.001126344
Rflnb	3512	-1.010169543	6.130117421	36.02084465	2.93E-05	0.001126344
Ezh1	4212	-0.590331871	6.222576271	36.07133894	2.91E-05	0.001126344
Cnbp	2178	0.337410281	9.738361232	36.04148352	2.92E-05	0.001126344
Dusp22	3058	1.305653311	3.003242044	35.9399681	2.97E-05	0.001135831
Gm2a	4257	-0.517593252	8.02611301	35.90785421	2.98E-05	0.001137301
A630023P12Rik	646	-1.433736952	4.472181575	35.64776173	3.10E-05	0.001173502
Rcl1	3671	0.666725724	5.989844174	35.66774683	3.09E-05	0.001173502
Hspa9	3043	0.692405261	8.097297627	35.44449478	3.19E-05	0.001193064
Coq7	1658	0.548055502	5.012899369	35.51003991	3.16E-05	0.001193064
Ltv1	2418	0.461817598	6.081103813	35.45317188	3.19E-05	0.001193064
Cct4	1966	0.410435963	8.405172478	35.46374131	3.18E-05	0.001193064
Phb	1799	0.51474439	6.946473831	35.20830616	3.30E-05	0.001231352
Stim1	6598	-0.404132885	6.904059175	35.18607076	3.31E-05	0.001231352
Ftsj3	3153	0.501742141	6.453245402	35.13826017	3.34E-05	0.001236036
Cnp	2678	-0.492783936	8.503766166	35.1037353	3.35E-05	0.001238314
Casp1	1513	0.925712655	5.295997366	34.98061873	3.42E-05	0.001257072
Slc28a2b	4043	-1.63276923	5.708155832	34.90535449	3.46E-05	0.001267108
Coq4	5500	0.845257312	3.337624169	34.84388503	3.49E-05	0.001274633
Plac8	3910	2.872024736	3.241247695	34.74807868	3.54E-05	0.00128481
Magohb	1127	0.613543679	4.168135298	34.74737718	3.54E-05	0.00128481
Pus7	4783	0.872045359	4.553177732	34.65977522	3.58E-05	0.001297591
Zfp365	4257	-2.317366123	1.863344825	34.55301083	3.64E-05	0.001310123
Plec	17515	-0.492833431	7.004786666	34.56495115	3.64E-05	0.001310123
Mrps18b	1587	0.588336065	5.149748999	34.50733994	3.67E-05	0.001314947
Snx2	2789	-0.688544316	7.251444976	34.46037878	3.69E-05	0.001320066
Smyd5	2493	0.712979843	5.722933491	34.39336129	3.73E-05	0.001327225
Hsp90ab1	2507	0.49392082	11.31930747	34.38246969	3.74E-05	0.001327225
Serpinb1a	2428	-3.092239251	0.35192038	34.31124017	3.78E-05	0.001337348
Smco4	1545	-1.017526633	5.323013576	34.15285633	3.87E-05	0.00134583
Syne2	21718	-0.748990876	4.640058339	34.22645432	3.83E-05	0.00134583
Slc12a7	5867	-0.737063746	6.673010779	34.16703527	3.86E-05	0.00134583
Abca7	7015	-0.5396049	6.603046275	34.14588377	3.87E-05	0.00134583
Syngr2	1558	0.454152739	7.018490142	34.24457044	3.82E-05	0.00134583
Mtdh	5259	0.409289822	6.619283991	34.14803181	3.87E-05	0.00134583
Timm8a1	1226	0.81030779	3.996725958	34.07432481	3.92E-05	0.001348033
Rrp9	1537	0.633033355	6.026767323	34.08438878	3.91E-05	0.001348033
Mrpl15	7205	0.374750839	6.729853496	34.0834469	3.91E-05	0.001348033
Ajuba	3503	2.328029214	1.23541131	34.01790539	3.95E-05	0.001351367
Dkc1	2982	0.688119918	7.471358263	34.0213926	3.95E-05	0.001351367
Ptges3	1954	0.453707218	7.83686226	33.95250315	3.99E-05	0.001358935
Fam162a	681	0.429580525	6.523328871	33.94133294	4.00E-05	0.001358935
1700017B05Rik	6115	0.622230564	6.359792356	33.88984448	4.03E-05	0.001362562
Tnfaip8l1	10110	-0.572508792	5.72453026	33.88427518	4.03E-05	0.001362562
Ifi206	3562	-1.114612298	6.077553887	33.83405822	4.06E-05	0.001368924
Gm8369	2129	-1.168025349	5.116151346	33.80426198	4.08E-05	0.001371057
Gsn	3075	-0.737261101	5.721451392	33.76460201	4.10E-05	0.0013712
Ifrd2	1980	0.722660829	4.756280373	33.78145004	4.09E-05	0.0013712
Gm26740	12704	-1.125402448	3.631311993	33.60508456	4.21E-05	0.001396798
Neat1	20773	-0.70012916	4.914916386	33.61019305	4.20E-05	0.001396798
Tmc8	3793	-0.474163115	6.035216134	33.57303419	4.23E-05	0.001399552
Ypel3	1192	-0.938598506	7.465154604	33.30522731	4.40E-05	0.001454147
Cdk2ap2	2286	-0.445966531	9.14241271	33.15490202	4.51E-05	0.001483976
Smap2	3500	-0.4050113	6.414815886	33.12744818	4.53E-05	0.001485953
Tspan2	4362	0.944075409	3.167369404	33.07552113	4.56E-05	0.001487165
