symbol,hgnc_id,aliases,hg38_start,hg38_end,hg19_start,hg19_end,chrom_number_x,disease
APOL1,HGNC:618,[],36253071,36267530,36253071,36267530,22,apolipoprotein L1
APOL1,HGNC:618,[],36253071,36267530,36253071,36267530,22,Wolff-Parkinson-White syndrome
APOL1,HGNC:618,[],36253071,36267530,36253071,36267530,22,"hypogonadism, male"
APOL1,HGNC:618,[],36253071,36267530,36253071,36267530,22,gyrate atrophy
APOL1,HGNC:618,[],36253071,36267530,36253071,36267530,22,growth hormone secreting pituitary adenoma 1
APOL1,HGNC:618,[],36253071,36267530,36253071,36267530,22,"basal ganglia calcification, idiopathic, childhood-onset"
APOL1,HGNC:618,[],36253071,36267530,36253071,36267530,22,amyotrophic lateral sclerosis with polyglucosan bodies
APOL1,HGNC:618,[],36253071,36267530,36253071,36267530,22,"pregnancy loss, recurrent, susceptibility"
APOL1,HGNC:618,[],36253071,36267530,36253071,36267530,22,Apolipoprotein L1
APOL1,HGNC:618,[],36253071,36267530,36253071,36267530,22,Autosomal recessive non-syndromic intellectual disability
COL4A3,HGNC:2204,[],227164624,227314792,227164624,227314792,2,collagen type IV alpha 3 chain
COL4A3,HGNC:2204,[],227164624,227314792,227164624,227314792,2,COL4A3 Gene
COL4A3,HGNC:2204,[],227164624,227314792,227164624,227314792,2,Wolff-Parkinson-White syndrome
COL4A3,HGNC:2204,[],227164624,227314792,227164624,227314792,2,"hypogonadism, male"
COL4A3,HGNC:2204,[],227164624,227314792,227164624,227314792,2,gyrate atrophy
COL4A3,HGNC:2204,[],227164624,227314792,227164624,227314792,2,growth hormone secreting pituitary adenoma 1
COL4A3,HGNC:2204,[],227164624,227314792,227164624,227314792,2,"basal ganglia calcification, idiopathic, childhood-onset"
COL4A3,HGNC:2204,[],227164624,227314792,227164624,227314792,2,amyotrophic lateral sclerosis with polyglucosan bodies
COL4A3,HGNC:2204,[],227164624,227314792,227164624,227314792,2,"pregnancy loss, recurrent, susceptibility"
COL4A3,HGNC:2204,[],227164624,227314792,227164624,227314792,2,Autosomal recessive non-syndromic intellectual disability
COL4A4,HGNC:2206,['CA44'],227002714,227164453,227002714,227164453,2,collagen type IV alpha 4 chain
COL4A4,HGNC:2206,['CA44'],227002714,227164453,227002714,227164453,2,Gynochthodes
COL4A4,HGNC:2206,['CA44'],227002714,227164453,227002714,227164453,2,Influenza A virus (A/swine/France/59-120031/2012(H3N2))
COL4A4,HGNC:2206,['CA44'],227002714,227164453,227002714,227164453,2,Wolff-Parkinson-White syndrome
COL4A4,HGNC:2206,['CA44'],227002714,227164453,227002714,227164453,2,"hypogonadism, male"
COL4A4,HGNC:2206,['CA44'],227002714,227164453,227002714,227164453,2,gyrate atrophy
COL4A4,HGNC:2206,['CA44'],227002714,227164453,227002714,227164453,2,growth hormone secreting pituitary adenoma 1
COL4A4,HGNC:2206,['CA44'],227002714,227164453,227002714,227164453,2,"basal ganglia calcification, idiopathic, childhood-onset"
COL4A4,HGNC:2206,['CA44'],227002714,227164453,227002714,227164453,2,amyotrophic lateral sclerosis with polyglucosan bodies
COL4A4,HGNC:2206,['CA44'],227002714,227164453,227002714,227164453,2,"pregnancy loss, recurrent, susceptibility"
HERC2,HGNC:4868,"['jdf2', 'p528', 'D15F37S1']",28111040,28322179,28111040,28322179,15,HECT and RLD domain containing E3 ubiquitin protein ligase 2
HERC2,HGNC:4868,"['jdf2', 'p528', 'D15F37S1']",28111040,28322179,28111040,28322179,15,HERC2 Gene
HERC2,HGNC:4868,"['jdf2', 'p528', 'D15F37S1']",28111040,28322179,28111040,28322179,15,Wolff-Parkinson-White syndrome
HERC2,HGNC:4868,"['jdf2', 'p528', 'D15F37S1']",28111040,28322179,28111040,28322179,15,"hypogonadism, male"
HERC2,HGNC:4868,"['jdf2', 'p528', 'D15F37S1']",28111040,28322179,28111040,28322179,15,gyrate atrophy
HERC2,HGNC:4868,"['jdf2', 'p528', 'D15F37S1']",28111040,28322179,28111040,28322179,15,growth hormone secreting pituitary adenoma 1
HERC2,HGNC:4868,"['jdf2', 'p528', 'D15F37S1']",28111040,28322179,28111040,28322179,15,"basal ganglia calcification, idiopathic, childhood-onset"
HERC2,HGNC:4868,"['jdf2', 'p528', 'D15F37S1']",28111040,28322179,28111040,28322179,15,amyotrophic lateral sclerosis with polyglucosan bodies
